Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Andhra Pradesh,31-05-2019, Monthly,7.77,3356330,47.8,Rural
Andhra Pradesh,31-05-2019, Monthly,7.88,2570006,40.58,Urban
Bihar,31-05-2019, Monthly,9.53,1278167,46.51,Rural
Bihar,31-05-2019, Monthly,5.73,1327069,42.12,Urban
Delhi,31-05-2019, Monthly,5.28,3281931,46.12,Rural
Delhi,31-05-2019, Monthly,4.08,2548762,46.12,Urban
Gujarat,31-05-2019, Monthly,5.28,1648143,42.33,Rural
Gujarat,31-05-2019, Monthly,5.69,3688875,45.14,Urban
Haryana,31-05-2019, Monthly,7.05,1528178,46.8,Rural
Haryana,31-05-2019, Monthly,6.28,4416664,49.66,Urban
Karnataka,31-05-2019, Monthly,8.65,1068148,42.31,Rural
Karnataka,31-05-2019, Monthly,6.57,3669995,44.95,Urban
Maharashtra,31-05-2019, Monthly,5.99,3557489,46.63,Rural
Maharashtra,31-05-2019, Monthly,6.6,4486825,45.68,Urban
Punjab,31-05-2019, Monthly,5.84,3299435,49.39,Rural
Punjab,31-05-2019, Monthly,9.67,2584398,40.88,Urban
Rajasthan,31-05-2019, Monthly,5.07,1579879,48.45,Rural
Rajasthan,31-05-2019, Monthly,8.82,4494679,43.57,Urban
Tamil Nadu,31-05-2019, Monthly,6.49,2285160,42.96,Rural
Tamil Nadu,31-05-2019, Monthly,4.86,3361864,47.72,Urban
Uttar Pradesh,31-05-2019, Monthly,5.0,1136330,41.99,Rural
Uttar Pradesh,31-05-2019, Monthly,9.14,3109818,40.74,Urban
West Bengal,31-05-2019, Monthly,6.02,4430534,48.5,Rural
West Bengal,31-05-2019, Monthly,6.44,4011062,43.11,Urban
Andhra Pradesh,30-06-2019, Monthly,7.09,4602279,42.75,Rural
Andhra Pradesh,30-06-2019, Monthly,7.57,1139182,47.13,Urban
Bihar,30-06-2019, Monthly,8.93,2972990,42.56,Rural
Bihar,30-06-2019, Monthly,5.62,3316121,40.25,Urban
Delhi,30-06-2019, Monthly,4.6,3869990,44.75,Rural
Delhi,30-06-2019, Monthly,8.21,3832868,42.49,Urban
Gujarat,30-06-2019, Monthly,7.56,2213475,49.43,Rural
Gujarat,30-06-2019, Monthly,8.38,3512667,49.3,Urban
Haryana,30-06-2019, Monthly,9.31,2575557,44.57,Rural
Haryana,30-06-2019, Monthly,5.93,3009021,45.39,Urban
Karnataka,30-06-2019, Monthly,9.83,3665702,49.07,Rural
Karnataka,30-06-2019, Monthly,6.66,3235000,48.18,Urban
Maharashtra,30-06-2019, Monthly,8.32,1021959,45.34,Rural
Maharashtra,30-06-2019, Monthly,7.81,4683561,43.38,Urban
Punjab,30-06-2019, Monthly,9.36,2013343,45.58,Rural
Punjab,30-06-2019, Monthly,6.15,1039353,49.62,Urban
Rajasthan,30-06-2019, Monthly,6.25,1416880,41.48,Rural
Rajasthan,30-06-2019, Monthly,9.52,1225281,45.03,Urban
Tamil Nadu,30-06-2019, Monthly,4.81,1269536,46.34,Rural
Tamil Nadu,30-06-2019, Monthly,8.47,3222809,49.86,Urban
Uttar Pradesh,30-06-2019, Monthly,6.55,4768522,43.7,Rural
Uttar Pradesh,30-06-2019, Monthly,6.82,3465604,46.32,Urban
West Bengal,30-06-2019, Monthly,8.24,2915631,47.98,Rural
West Bengal,30-06-2019, Monthly,5.77,3148815,40.41,Urban
Andhra Pradesh,31-07-2019, Monthly,8.31,1910681,45.12,Rural
Andhra Pradesh,31-07-2019, Monthly,6.42,3311987,49.41,Urban
Bihar,31-07-2019, Monthly,7.02,4418983,41.38,Rural
